Name, Price, Change, Percentage Change, Transactions Number, Volume, Opening, Max, Min, Time
ORANGEPL,7.9850,0.0750,0.95%,1840,15247551,7.8150,8.0000,7.8150,02.02 16:42
ORCOGROUP,2.5000,-0.1000,-3.85%,3,2563,2.6500,2.6500,2.5000,02.02 12:17
ORZBIALY,23.8000,0.2000,0.85%,3,1190,23.8000,23.8000,23.7000,02.02 11:59
OTLOG,9.8400,0.8400,9.33%,37,73149,9.4200,9.9000,9.3600,02.02 16:41
OTMUCHOW,3.5200,0.0000,0.00%,5,7013,3.5200,3.5200,3.4800,02.02 15:05
OVOSTAR,67.0000,0.0000,0.00%,1,67,67.0000,67.0000,67.0000,02.02 09:38
PAMAPOL,2.4300,0.1200,5.19%,8,19724,2.3100,2.4300,2.3100,02.02 15:41
PANOVA,14.2000,0.2500,1.79%,11,25329,13.8500,14.2000,13.7500,02.02 11:02
PATENTUS,1.0900,0.0550,5.31%,32,19322,1.0150,1.0900,1.0150,02.02 15:37
PBG,0.0410,0.0000,0.00%,52,60742,0.0410,0.0410,0.0410,02.02 12:15
PBKM,90.2000,0.2000,0.22%,2,22640,90.2000,90.2000,90.2000,20.12 11:00
PBSFINANSE,0.8700,0.0300,3.57%,19,15193,0.8800,0.8800,0.8700,02.02 15:08
PCCEXOL,2.8880,0.0420,1.48%,190,1959356,2.8440,2.9360,2.8340,02.02 16:28
PCCROKITA,90.0000,1.5000,1.69%,73,153252,88.5000,90.0000,88.0000,02.02 16:33
PCFGROUP,56.6000,1.6000,2.91%,173,571867,55.0000,56.6000,54.5500,02.02 16:39
PCFGROUP-PDA,71.8800,-0.1200,-0.17%,265,826193,72.8600,73.9800,71.8100,02.02 17:00
PEKABEX,21.2000,0.3000,1.44%,24,60958,20.6000,21.3000,20.6000,02.02 16:30
PEKAO,137.4500,0.5000,0.37%,5389,86519704,138.2500,138.9000,136.3500,02.02 16:42
PEMANAGER,18.5000,-0.4500,-2.37%,12,6873,18.9500,18.9500,18.1000,18.06 17:00
PEPCO,40.2650,0.7650,1.94%,199,493206,39.5500,40.2950,39.5000,02.02 16:42
PEPEES,1.1500,-0.0300,-2.54%,4,5762,1.1750,1.1750,1.1500,02.02 15:26
PGE,7.4420,-0.1180,-1.56%,3492,27419196,7.5400,7.6640,7.3640,02.02 16:42
PGFGROUP,1.4000,-0.0950,-6.35%,8,6442,1.5250,1.5250,1.4000,02.02 16:15
PGNIG,5.3040,-0.0180,-0.34%,1891,9454108,5.3220,5.3320,5.2540,02.02 16:42
PGO,1.4450,0.0050,0.35%,10,45880,1.4450,1.4450,1.4400,25.02 17:01
PGSSOFT,17.9000,0.0000,0.00%,7,6996,17.9000,18.0000,17.9000,25.10 15:43
PHARMENA,7.5000,0.0000,0.00%,6,3135,7.5900,7.5900,7.2000,02.02 16:07
PHN,13.6000,-0.1500,-1.09%,35,134072,13.6000,13.6000,13.3000,02.02 16:39
PHOTON,7.0000,-0.1500,-2.10%,14,24089,6.9500,7.1500,6.9500,02.02 16:35
PKNORLEN,71.0800,-0.6400,-0.89%,9811,69202224,72.1000,73.1200,70.8600,02.02 16:42
PKOBP,49.0300,1.0300,2.15%,6337,89844088,48.2200,49.2000,48.1000,02.02 16:42
PKPCARGO,13.3800,0.0000,0.00%,639,1604742,13.4000,13.7000,13.2200,02.02 16:42
PLASTBOX,2.6800,0.0000,0.00%,2,4020,2.6800,2.6800,2.6800,01.02 11:08
PLAY,38.5200,-0.1400,-0.36%,282,5213236,38.5600,38.6000,38.5000,18.12 17:00
PLAYWAY,380.0000,-0.8000,-0.21%,124,723581,382.0000,387.8000,379.6000,02.02 16:42
PLAZACNTR,2.5605,-0.1180,-4.41%,19,16886,2.6000,2.7195,2.5600,02.02 16:25
PMPG,3.4600,-0.1000,-2.81%,7,12069,3.6200,3.6200,3.4600,02.02 15:22
POLICE,10.7000,-0.3000,-2.73%,24,62118,11.0000,11.0000,10.7000,02.02 15:45
POLIMEXMS,3.8900,0.1550,4.15%,306,716443,3.7400,3.9400,3.7150,02.02 16:39
POLNORD,3.5300,0.0000,0.00%,4,18947,3.5350,3.5350,3.5300,17.02 12:27
POLTREG,58.5000,0.5000,0.86%,12,19626,58.9000,58.9000,57.0000,02.02 15:41
POLTREG-PDA,71.0000,2.0000,2.90%,35,143168,65.2000,71.0000,62.4000,20.12 17:00
POLWAX,2.8300,-0.0100,-0.35%,6,113,2.8400,2.8400,2.8300,02.02 09:40
PRAGMAFA,24.3000,0.0000,0.00%,2,12393,24.3000,24.3000,24.3000,16.06 09:37
PRAGMAINK,3.9000,0.1000,2.63%,10,4759,3.8000,3.9000,3.8000,02.02 16:04
PRIMAMODA,1.0800,-0.1200,-10.00%,2,810,1.0800,1.0800,1.0800,31.01 11:00
PRIMETECH,1.1200,-0.1300,-10.40%,2,1354,1.1200,1.1200,1.1200,02.02 15:00
PROCAD,2.2000,0.0800,3.77%,3,660,2.2400,2.2400,2.2000,02.02 15:00
PROCHEM,27.8000,-0.2000,-0.71%,5,15294,28.0000,28.0000,27.4000,02.02 15:59
PROJPRZEM,10.6000,0.0000,0.00%,7,2226,10.6000,10.6000,10.6000,02.02 13:11
PROTEKTOR,3.0000,0.0450,1.52%,7,2003,2.9500,3.0000,2.8550,02.02 14:15
PROVIDENT,6.8500,0.2500,3.79%,1,14,6.8500,6.8500,6.8500,01.02 09:02
PULAWY,76.6000,0.2000,0.26%,12,25947,76.4000,76.6000,76.4000,02.02 16:00
PUNKPIRAT,0.5340,-0.0160,-2.91%,25,13364,0.5120,0.5480,0.5100,02.02 16:34
PURE,70.6000,1.1000,1.58%,46,58427,69.5000,73.8000,69.5000,02.02 15:48
PURE-PDA,127.5000,-0.5000,-0.39%,30,64429,126.0000,129.0000,126.0000,03.02 17:00
PZU,37.0700,0.3900,1.06%,4142,43328256,36.5600,37.2700,36.5600,02.02 16:42
QUANTUM,38.0000,1.0000,2.70%,1,1140,38.0000,38.0000,38.0000,02.02 10:44
QUERCUS,3.6000,-0.0200,-0.55%,23,65421,3.6400,3.6700,3.6000,02.02 16:14
R22,46.0000,0.0000,0.00%,79,710008,46.5000,46.5000,45.8500,02.02 16:39
RADPOL,1.9800,0.1300,7.03%,59,75348,1.9000,2.1200,1.9000,02.02 16:41
RAFAMET,17.4000,0.1000,0.58%,1,17,17.4000,17.4000,17.4000,02.02 10:56
RAINBOW,24.0500,0.2500,1.05%,36,61076,24.0000,24.7000,23.3500,02.02 16:37
RANKPROGR,2.1700,-0.0100,-0.46%,25,26543,2.1700,2.2200,2.1200,02.02 16:34
RAWLPLUG,16.0000,0.6000,3.90%,17,52481,15.4000,16.0000,15.4000,02.02 16:40
REDAN,0.3290,-0.0110,-3.24%,3,1457,0.3270,0.3290,0.3270,02.02 14:48
REGNON,0.7950,-0.0850,-9.66%,9,2981,0.8800,0.8800,0.7950,30.09 15:00
REINHOLD,0.1700,0.0000,0.00%,5,9524,0.1700,0.1700,0.1700,28.01 15:16
REINO,1.6400,0.0000,0.00%,1,16,1.6400,1.6400,1.6400,02.02 09:05
RELPOL,7.2200,0.0000,0.00%,52,70972,7.3600,7.3800,7.2200,02.02 16:37
REMAK,18.4000,1.1000,6.36%,90,221965,16.9000,18.4000,16.0000,02.02 16:42
RESBUD,0.9500,0.0000,0.00%,10,3869,0.9500,0.9500,0.9400,02.02 15:55
RONSON,2.4500,0.0100,0.41%,8,6799,2.4500,2.4500,2.4500,02.02 16:06
ROPCZYCE,31.0000,-1.1000,-3.43%,10,22062,32.1000,32.1000,31.0000,02.02 16:15
RYVU,54.1000,0.1000,0.19%,38,95195,54.0000,54.6000,53.0000,02.02 16:18
SANOK,17.9000,0.1000,0.56%,67,137573,17.8000,18.0500,17.8000,02.02 16:38
SANPL,361.0000,8.7000,2.47%,2343,20637508,356.4000,361.4000,349.5000,02.02 16:42
SANTANDER,14.4000,0.0140,0.10%,15,62107,14.3680,14.5500,14.3420,02.02 16:12
SANWIL,1.6300,-0.0080,-0.49%,9,9911,1.6300,1.6300,1.5900,02.02 14:18
SATIS,0.7840,0.0000,0.00%,36,32704,0.7840,0.8100,0.7700,02.02 14:21
SECOGROUP,16.2000,0.0000,0.00%,2,63,15.5000,16.2000,15.5000,27.01 16:12
SEKO,8.4000,0.1000,1.20%,2,2994,8.3000,8.4000,8.3000,02.02 14:42
SELENAFM,24.8000,0.6000,2.48%,25,96242,24.2000,24.8000,24.2000,02.02 16:05
SELVITA,73.0000,1.9000,2.67%,96,4640291,72.0000,73.0000,71.6000,02.02 16:36
SERINUS,0.7240,0.0068,0.95%,246,385728,0.7169,0.7470,0.7081,02.02 16:36
SESCOM,44.2000,3.0000,7.28%,5,9886,44.0000,44.2000,44.0000,01.02 14:21
SFINKS,0.3990,0.0030,0.76%,19,18587,0.3940,0.4000,0.3800,02.02 14:53
SHOPER,57.0000,0.4000,0.71%,22,156007,56.0000,57.6600,56.0000,02.02 15:30
SILVAIR-REGS,6.9000,-0.1000,-1.43%,5,207,6.9000,6.9000,6.9000,01.02 10:12
SILVANO,8.1800,0.3600,4.60%,3,7282,8.1000,8.1800,8.1000,28.01 09:26
SIMPLE,12.3000,0.0000,0.00%,1,504,12.3000,12.3000,12.3000,04.01 11:00
SKARBIEC,30.1000,-1.2000,-3.83%,26,61206,30.5000,30.7000,30.0000,02.02 16:39
SKOTAN,1.5550,0.0250,1.63%,17,16132,1.5300,1.5600,1.5000,02.02 16:34
SKYLINE,0.9300,0.0300,3.33%,2,3419,0.9000,0.9300,0.9000,31.01 15:15
SLEEPZAG,0.5150,-0.0100,-1.90%,7,2344,0.4520,0.5150,0.4520,02.02 16:41
SNIEZKA,75.2000,-1.4000,-1.83%,21,28061,76.6000,76.6000,74.0000,02.02 16:26
SOHODEV,0.6800,-0.0050,-0.73%,23,8045,0.6850,0.6850,0.6250,02.02 16:32
SOLAR,5.4400,0.0600,1.12%,18,22815,5.3800,5.4800,5.1600,02.02 15:35
SONEL,10.6000,0.3000,2.91%,8,7746,10.2500,10.6000,10.2500,02.02 15:37
SOPHARMA,10.3000,0.3000,3.00%,1,206,10.3000,10.3000,10.3000,02.02 11:35
STALEXP,3.5500,0.0100,0.28%,37,54161,3.5800,3.5800,3.5300,02.02 15:58
STALPROD,292.0000,2.0000,0.69%,115,462408,293.0000,298.0000,290.0000,02.02 16:30
STALPROFI,10.1500,-0.2000,-1.93%,28,27884,10.3500,10.4000,10.1500,02.02 16:42
STAPORKOW,2.8600,-0.2600,-8.33%,35,55400,3.0200,3.0200,2.7600,02.02 16:30
STARHEDGE,0.4730,-0.0050,-1.05%,1,473,0.4730,0.4730,0.4730,02.02 15:00
STSHOLDING,21.4050,-0.2700,-1.25%,151,342137,21.6750,21.7850,21.2800,02.02 16:39
SUNEX,4.6900,-0.0150,-0.32%,24,25171,4.7050,4.8000,4.6500,02.02 15:56
SUWARY,23.6000,0.4000,1.72%,7,3701,24.0000,24.0000,22.8000,02.02 16:04
SWISSMED,10.9000,-0.0500,-0.46%,19,120271,10.9000,10.9500,10.9000,02.02 15:27
SYGNITY,8.7400,0.0400,0.46%,9,30989,8.7600,8.7800,8.7000,02.02 15:41
SYNEKTIK,30.9500,1.1500,3.86%,82,313944,29.8500,31.0000,29.8500,02.02 16:37
TALANX,170.0000,-1.6000,-0.93%,1,510,170.0000,170.0000,170.0000,04.06 11:21
TALEX,16.5000,-0.5000,-2.94%,7,5120,17.0000,17.0000,16.5000,02.02 12:50
TARCZYNSKI,41.8000,-0.2000,-0.48%,3,794,41.8000,41.8000,41.8000,02.02 14:49
TATRY,188.0000,0.0000,0.00%,1,11280,188.0000,188.0000,188.0000,01.02 14:01
TAURONPE,2.4010,-0.0020,-0.08%,2761,12656801,2.4000,2.4280,2.3670,02.02 16:44
TBULL,18.6000,0.8600,4.85%,61,98956,17.6000,18.8800,17.3800,02.02 16:13
TERMOREX,0.8400,-0.0050,-0.59%,3,420,0.8400,0.8400,0.8400,02.02 12:02
TESGAS,3.3900,0.0050,0.15%,3,1388,3.3850,3.3900,3.3850,02.02 16:35
TIM,39.6000,-0.5000,-1.25%,362,2176014,40.2500,40.9500,39.4000,02.02 16:44
TORPOL,12.2800,-0.0200,-0.16%,160,441192,12.3400,12.4200,12.2600,02.02 16:43
TOWERINVT,10.7000,0.0000,0.00%,1,321,10.7000,10.7000,10.7000,01.02 09:00
TOYA,7.6200,0.0000,0.00%,53,126583,7.6900,7.6900,7.5600,02.02 16:35
TRAKCJA,1.7760,0.0360,2.07%,60,105458,1.7700,1.7760,1.7400,02.02 16:38
TRANSPOL,3.5500,-0.0100,-0.28%,23,99742,3.6000,3.6000,3.5500,02.02 16:28
TRITON,4.0000,0.0000,0.00%,5,16704,4.0000,4.0000,4.0000,02.02 15:00
TSGAMES,255.6000,11.6000,4.75%,2366,14035314,246.0000,258.8000,243.0000,02.02 16:44
ULMA,61.0000,0.0000,0.00%,1,61,61.0000,61.0000,61.0000,02.02 09:06
ULTGAMES,23.0500,0.6500,2.90%,51,90353,22.4500,23.2000,22.4000,02.02 16:13
UNIBEP,9.3000,0.2400,2.65%,16,13623,9.1200,9.3000,9.1200,02.02 15:35
UNICREDIT,67.1600,2.5800,4.00%,2,3002,66.5000,67.1600,66.5000,02.02 15:35
UNIMA,6.8400,0.3000,4.59%,50,47420,6.4200,6.8400,6.3400,02.02 16:13
UNIMOT,44.3500,-0.4500,-1.00%,62,209314,44.7500,44.7500,43.4000,02.02 16:34
URSUS,0.2580,-0.0020,-0.77%,40,30689,0.2625,0.2625,0.2535,02.02 16:01
VENTUREIN,3.1500,-0.0600,-1.87%,10,22450,3.1900,3.2500,3.0100,02.02 16:30
VERCOM,44.4850,0.7850,1.80%,20,39183,44.0000,44.5000,43.8400,02.02 16:41
VERCOM-PDA,51.9000,0.4600,0.89%,15,51200,51.5500,51.9000,51.5500,23.06 13:13
VIGOSYS,744.0000,-6.0000,-0.80%,39,459208,750.0000,758.0000,744.0000,02.02 16:17
VINDEXUS,7.4800,0.2400,3.31%,86,177039,7.3200,7.8000,7.2000,02.02 16:43
VISTAL,2.5300,-0.0600,-2.32%,168,351591,2.5500,2.5900,2.4700,02.02 16:19
VIVID,1.2000,0.0220,1.87%,13,5649,1.1220,1.2100,1.1220,02.02 15:30
VOTUM,18.0000,-0.1200,-0.66%,68,153524,18.1200,18.1800,17.8600,02.02 16:21
VOXEL,44.8000,0.0000,0.00%,36,238359,44.9000,44.9000,44.7000,02.02 16:41
VRG,3.9200,-0.0200,-0.51%,25,464525,3.9500,3.9500,3.9000,02.02 16:37
WADEX,6.5200,0.0200,0.31%,7,665,6.5200,6.5200,6.5000,07.08 14:10
WARIMPEX,5.5400,0.0000,0.00%,1,332,5.5400,5.5400,5.5400,28.01 12:25
WASKO,1.6300,0.0150,0.93%,24,17010,1.6200,1.6300,1.5850,02.02 16:41
WAWEL,490.0000,0.0000,0.00%,21,73746,490.0000,496.0000,490.0000,02.02 16:22
WIELTON,9.2700,0.0200,0.22%,69,222899,9.2500,9.3000,9.1800,02.02 16:40
WIKANA,3.5600,-0.1000,-2.73%,2,1719,3.5600,3.5600,3.5600,02.02 12:01
WINVEST,0.3560,-0.0040,-1.11%,1,1068,0.3560,0.3560,0.3560,01.02 11:00
WIRTUALNA,131.4000,1.4000,1.08%,199,1015735,129.8000,133.0000,128.4000,02.02 16:40
WITTCHEN,15.7000,0.7000,4.67%,37,67105,15.0000,16.5000,15.0000,02.02 16:27
WOJAS,4.4600,0.1400,3.24%,17,11303,4.4800,4.4800,4.2500,02.02 16:24
XTB,16.4200,0.3100,1.92%,1603,6641944,16.3100,16.9400,16.3100,02.02 16:44
XTPL,55.6000,-0.4000,-0.71%,99,378362,57.0000,57.0000,53.1000,02.02 15:29
YOLO,2.0200,-0.0400,-1.94%,227,395149,2.0600,2.1000,1.9900,02.02 16:44
ZAMET,0.8880,0.0040,0.45%,2,812,0.8860,0.8880,0.8860,02.02 11:36
ZEPAK,16.3000,0.3000,1.88%,122,205709,16.1000,16.8000,15.8000,02.02 16:43
ZPUE,205.0000,1.0000,0.49%,5,2664,204.0000,205.0000,204.0000,02.02 15:06
ZREMB,1.6000,-0.0600,-3.61%,93,139640,1.6100,1.6500,1.5650,02.02 16:42
ZUE,3.0700,0.0200,0.66%,28,29904,3.0500,3.0900,3.0400,02.02 16:25
ZYWIEC,500.0000,0.0000,0.00%,11,25944,499.0000,500.0000,498.0000,02.02 14:06
06MAGNA,3.0400,0.0200,0.66%,50,62295,3.0400,3.1300,2.9950,02.02 16:38
08OCTAVA,1.0000,0.0000,0.00%,3,511,1.0100,1.0100,1.0000,02.02 15:00
11BIT,569.0000,0.0000,0.00%,257,1520509,568.0000,577.0000,564.0000,02.02 16:42
3RGAMES,0.8960,0.0560,6.67%,29,21788,0.8800,0.8960,0.8700,02.02 16:17
4FUNMEDIA,8.9200,0.2400,2.76%,11,18404,8.6800,8.9200,8.6800,02.02 15:11
